Home_club,Away_club,Stadium,Tournament,Match_date,Match_time,Match fixed,Ticket only discount,Cat 1 quantitiy,Cat 1 price,Cat 2 quantity,Cat 2 price,Cat 3 quantity,Cat 3 price,Cat 4 quantity,Cat 4 price,Hotel price,Package,Description_English,available_before_days,id
Real Madrid,Atletico Madrid ,Santiago Bernabeu,La Liga,26-2-2023,16:00,0,0,8,595,8,495,8,395,,,,0,"We offer tickets Real Madrid vs. Atletico Madrid  at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,567
Real Madrid,Espanyol,Santiago Bernabeu,La Liga,12-3-2023,16:00,0,0,8,295,8,215,8,175,,,,0,"We offer tickets Real Madrid vs. Espanyol at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,568
Real Madrid,Real Valladolid,Santiago Bernabeu,La Liga,2-4-2023,16:00,0,0,8,295,8,215,8,175,,,,0,"We offer tickets Real Madrid vs. Real Valladolid at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,569
Real Madrid,Villarreal,Santiago Bernabeu,La Liga,9-4-2023,16:00,0,0,8,325,8,255,8,195,,,,0,"We offer tickets Real Madrid vs. Villarreal at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,570
Real Madrid,Celta de Vigo,Santiago Bernabeu,La Liga,23-4-2023,16:00,0,0,8,325,8,255,8,195,,,,0,"We offer tickets Real Madrid vs. Celta de Vigo at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,571
Real Madrid,Almeria,Santiago Bernabeu,La Liga,30-4-2023,16:00,0,0,8,325,8,255,8,195,,,,0,"We offer tickets Real Madrid vs. Almeria at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,572
Real Madrid,Getafe,Santiago Bernabeu,La Liga,14-5-2023,16:00,0,0,8,415,8,315,8,245,,,,0,"We offer tickets Real Madrid vs. Getafe at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,573
Real Madrid,Rayo Vallecano,Santiago Bernabeu,La Liga,24-5-2023,20:00,0,0,8,415,8,315,8,245,,,,0,"We offer tickets Real Madrid vs. Rayo Vallecano at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,574
Real Madrid,Athletic de Bilbao,Santiago Bernabeu,La Liga,4-6-2023,16:00,0,0,8,415,8,315,8,245,,,,0,"We offer tickets Real Madrid vs. Athletic de Bilbao at Santiago Bernabeu. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,575
Sevilla,Real Valladolid,Ramon Sanchez Pizjuan,La Liga,19-8-2022,22:00,1,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Real Valladolid at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,576
Sevilla,FC Barcelona,Ramon Sanchez Pizjuan,La Liga,3-9-2022,21:00,1,0,8,285,8,225,,,,,,0,"We offer tickets Sevilla vs. FC Barcelona at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,577
Sevilla,Atletico Madrid,Ramon Sanchez Pizjuan,La Liga,1-10-2022,18:30,1,0,8,215,8,175,,,,,,0,"We offer tickets Sevilla vs. Atletico Madrid at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,578
Sevilla,Athletic de Bilbao,Ramon Sanchez Pizjuan,La Liga,8-10-2022,18:30,1,0,8,135,8,95,,,,,,0,"We offer tickets Sevilla vs. Athletic de Bilbao at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,579
Sevilla,Valencia,Ramon Sanchez Pizjuan,La Liga,18-10-2022,19:00,1,0,8,145,8,115,,,,,,0,"We offer tickets Sevilla vs. Valencia at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,580
Sevilla,Rayo Vallecano,Ramon Sanchez Pizjuan,La Liga,29-10-2022,18:30,1,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Rayo Vallecano at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,581
Sevilla,Real Sociedad,Ramon Sanchez Pizjuan,La Liga,9-11-2022,19:00,1,0,8,135,8,95,,,,,,0,"We offer tickets Sevilla vs. Real Sociedad at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,582
Sevilla,Getafe,Ramon Sanchez Pizjuan,La Liga,8-1-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Getafe at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,583
Sevilla,Cadiz,Ramon Sanchez Pizjuan,La Liga,22-1-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Cadiz at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,584
Sevilla,Elche,Ramon Sanchez Pizjuan,La Liga,29-1-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Elche at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,585
Sevilla,RCD Mallorca,Ramon Sanchez Pizjuan,La Liga,12-2-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. RCD Mallorca at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,586
